gene_id	gene_symbol	gene_biotype	description
ENSRNOG00000014585	Cfap53	protein_coding	cilia and flagella associated protein 53 [Source:RGD Symbol;Acc:1306734]
ENSRNOG00000018680	Rpl17	protein_coding	ribosomal protein L17 [Source:RGD Symbol;Acc:1303019]
ENSRNOG00000017788	Katnal2	protein_coding	katanin catalytic subunit A1 like 2 [Source:RGD Symbol;Acc:1564708]
ENSRNOG00000045604	AC139391.1	pseudogene	NA
ENSRNOG00000016987	Pstpip2	protein_coding	proline-serine-threonine phosphatase-interacting protein 2 [Source:RGD Symbol;Acc:1563090]
ENSRNOG00000016753	Slc14a1	protein_coding	solute carrier family 14 member 1 [Source:RGD Symbol;Acc:3688]
ENSRNOG00000016208	Setbp1	protein_coding	SET binding protein 1 [Source:RGD Symbol;Acc:1306229]
ENSRNOG00000057774	RGD1560212	protein_coding	"similar to DNA segment, Chr 18, Wayne State University 98, expressed [Source:RGD Symbol;Acc:1560212]"
ENSRNOG00000053640	Kcng2	protein_coding	potassium voltage-gated channel modifier subfamily G member 2 [Source:RGD Symbol;Acc:1309521]
ENSRNOG00000016654	Galr1	protein_coding	galanin receptor 1 [Source:RGD Symbol;Acc:2656]
ENSRNOG00000016516	Mbp	protein_coding	myelin basic protein [Source:RGD Symbol;Acc:3054]
ENSRNOG00000016258	Zfp516	protein_coding	zinc finger protein 516 [Source:RGD Symbol;Acc:1306817]
ENSRNOG00000015142	Timm21	protein_coding	translocase of inner mitochondrial membrane 21 [Source:RGD Symbol;Acc:1307279]
ENSRNOG00000038211	AABR07032856.1	pseudogene	NA
ENSRNOG00000011901	Rrad	protein_coding	"RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:RGD Symbol;Acc:69357]"
ENSRNOG00000033133	Nae1	protein_coding	NEDD8 activating enzyme E1 subunit 1 [Source:RGD Symbol;Acc:619945]
ENSRNOG00000025791	Dync1li2	protein_coding	"dynein, cytoplasmic 1 light intermediate chain 2 [Source:RGD Symbol;Acc:621130]"
ENSRNOG00000011009	Cmtm4	protein_coding	CKLF-like MARVEL transmembrane domain containing 4 [Source:RGD Symbol;Acc:1565098]
ENSRNOG00000056643	Cdh8	protein_coding	cadherin 8 [Source:RGD Symbol;Acc:69286]
ENSRNOG00000012622	Mmp15	protein_coding	matrix metallopeptidase 15 [Source:RGD Symbol;Acc:1308937]
ENSRNOG00000013216	Usb1	protein_coding	U6 snRNA biogenesis phosphodiesterase 1 [Source:RGD Symbol;Acc:1305215]
ENSRNOG00000016190	Coq9	protein_coding	coenzyme Q9 [Source:RGD Symbol;Acc:1586040]
ENSRNOG00000016326	Cx3cl1	protein_coding	C-X3-C motif chemokine ligand 1 [Source:RGD Symbol;Acc:620458]
ENSRNOG00000060931	Rspry1	protein_coding	ring finger and SPRY domain containing 1 [Source:RGD Symbol;Acc:1308847]
ENSRNOG00000048222	Nlrc5	protein_coding	"NLR family, CARD domain containing 5 [Source:RGD Symbol;Acc:1309166]"
ENSRNOG00000018796	Herpud1	protein_coding	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:RGD Symbol;Acc:620818]
ENSRNOG00000052699	RF00015	snRNA	NA
ENSRNOG00000025710	Ces5a	protein_coding	carboxylesterase 5A [Source:RGD Symbol;Acc:1549717]
ENSRNOG00000057776	AABR07042903.2	lincRNA	NA
ENSRNOG00000014117	Hmox1	protein_coding	heme oxygenase 1 [Source:RGD Symbol;Acc:2806]
ENSRNOG00000014761	Rasd2	protein_coding	"RASD family, member 2 [Source:RGD Symbol;Acc:628594]"
ENSRNOG00000049302	Chd9	protein_coding	chromodomain helicase DNA binding protein 9 [Source:RGD Symbol;Acc:1306795]
ENSRNOG00000028649	Tox3	protein_coding	TOX high mobility group box family member 3 [Source:RGD Symbol;Acc:1311529]
ENSRNOG00000014293	Nkd1	protein_coding	"NKD1, WNT signaling pathway inhibitor [Source:RGD Symbol;Acc:1308491]"
ENSRNOG00000014419	Brd7	protein_coding	bromodomain containing 7 [Source:RGD Symbol;Acc:1309891]
ENSRNOG00000015162	Lonp2	protein_coding	"lon peptidase 2, peroxisomal [Source:RGD Symbol;Acc:1305466]"
ENSRNOG00000016251	Dnaja2	protein_coding	DnaJ heat shock protein family (Hsp40) member A2 [Source:RGD Symbol;Acc:71001]
ENSRNOG00000017090	RGD1308706	protein_coding	similar to RIKEN cDNA 4921524J17 [Source:RGD Symbol;Acc:1308706]
ENSRNOG00000003461	Zfp330	protein_coding	zinc finger protein 330 [Source:RGD Symbol;Acc:1307510]
ENSRNOG00000003755	Clgn	protein_coding	calmegin [Source:RGD Symbol;Acc:1592643]
ENSRNOG00000021824	Dnajb1	protein_coding	DnaJ heat shock protein family (Hsp40) member B1 [Source:RGD Symbol;Acc:1304725]
ENSRNOG00000004131	Pkn1	protein_coding	protein kinase N1 [Source:RGD Symbol;Acc:69308]
ENSRNOG00000029134	Adgrl1	protein_coding	adhesion G protein-coupled receptor L1 [Source:RGD Symbol;Acc:620768]
ENSRNOG00000060383	AABR07043167.3	miRNA	NA
ENSRNOG00000005619	Misp3	protein_coding	MISP family member 3 [Source:RGD Symbol;Acc:1310262]
ENSRNOG00000005729	Palm3	protein_coding	paralemmin 3 [Source:RGD Symbol;Acc:2323602]
ENSRNOG00000026211	Mri1	protein_coding	methylthioribose-1-phosphate isomerase 1 [Source:RGD Symbol;Acc:1307789]
ENSRNOG00000003026	Rad23a	protein_coding	"RAD23 homolog A, nucleotide excision repair protein [Source:RGD Symbol;Acc:1309899]"
ENSRNOG00000018382	Inpp4b	protein_coding	inositol polyphosphate-4-phosphatase type II B [Source:RGD Symbol;Acc:620470]
ENSRNOG00000017879	Gab1	protein_coding	GRB2-associated binding protein 1 [Source:RGD Symbol;Acc:1311085]
ENSRNOG00000018149	Smarca5	protein_coding	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:RGD Symbol;Acc:1308832]"
ENSRNOG00000039152	Frem3	protein_coding	FRAS1 related extracellular matrix 3 [Source:RGD Symbol;Acc:1562701]
ENSRNOG00000018268	Hhip	protein_coding	Hedgehog-interacting protein [Source:RGD Symbol;Acc:1564108]
ENSRNOG00000018296	Anapc10	protein_coding	anaphase promoting complex subunit 10 [Source:RGD Symbol;Acc:1308936]
ENSRNOG00000012138	Rbmxl1	protein_coding	RBMX like 1 [Source:RGD Symbol;Acc:1306751]
ENSRNOG00000034007	Nr3c2	protein_coding	"nuclear receptor subfamily 3, group C, member 2 [Source:RGD Symbol;Acc:3094]"
ENSRNOG00000014647	Cbfb	protein_coding	core-binding factor subunit beta [Source:RGD Symbol;Acc:620493]
ENSRNOG00000015588	Nol3	protein_coding	nucleolar protein 3 [Source:RGD Symbol;Acc:708558]
ENSRNOG00000015800	Elmo3	protein_coding	engulfment and cell motility 3 [Source:RGD Symbol;Acc:1304734]
ENSRNOG00000054625	Fhod1	protein_coding	formin homology 2 domain containing 1 [Source:RGD Symbol;Acc:1589776]
ENSRNOG00000017045	Zdhhc1	protein_coding	"zinc finger, DHHC-type containing 1 [Source:RGD Symbol;Acc:1589775]"
ENSRNOG00000024452	Carmil2	protein_coding	capping protein regulator and myosin 1 linker 2 [Source:RGD Symbol;Acc:1562390]
ENSRNOG00000019573	Lcat	protein_coding	lecithin cholesterol acyltransferase [Source:RGD Symbol;Acc:2993]
ENSRNOG00000000258	Prmt7	protein_coding	protein arginine methyltransferase 7 [Source:RGD Symbol;Acc:1304869]
ENSRNOG00000011879	Nfat5	protein_coding	nuclear factor of activated T-cells 5 [Source:RGD Symbol;Acc:1309142]
ENSRNOG00000047246	Chtf8	protein_coding	chromosome transmission fidelity factor 8 [Source:RGD Symbol;Acc:1306894]
ENSRNOG00000020344	Sntb2	protein_coding	"syntrophin, beta 2 [Source:RGD Symbol;Acc:1592340]"
ENSRNOG00000020435	Terf2	protein_coding	telomeric repeat binding factor 2 [Source:RGD Symbol;Acc:1310881]
ENSRNOG00000014097	Psmd7	protein_coding	"proteasome 26S subunit, non-ATPase 7 [Source:RGD Symbol;Acc:1306902]"
ENSRNOG00000017932	St3gal2	protein_coding	"ST3 beta-galactoside alpha-2,3-sialyltransferase 2 [Source:RGD Symbol;Acc:68413]"
ENSRNOG00000017745	Cog4	protein_coding	component of oligomeric golgi complex 4 [Source:RGD Symbol;Acc:1310549]
ENSRNOG00000018950	Fa2h	protein_coding	fatty acid 2-hydroxylase [Source:RGD Symbol;Acc:1310347]
ENSRNOG00000019028	Znrf1	protein_coding	zinc and ring finger 1 [Source:RGD Symbol;Acc:1592195]
ENSRNOG00000019059	Zfp1	protein_coding	zinc finger protein 1 [Source:RGD Symbol;Acc:1565049]
ENSRNOG00000019326	Cfdp1	protein_coding	craniofacial development protein 1 [Source:RGD Symbol;Acc:735080]
ENSRNOG00000019456	Kars	protein_coding	lysyl-tRNA synthetase [Source:RGD Symbol;Acc:1359653]
ENSRNOG00000012238	Clec3a	protein_coding	"C-type lectin domain family 3, member A [Source:RGD Symbol;Acc:1306295]"
ENSRNOG00000011279	Cmc2	protein_coding	C-x(9)-C motif containing 2 [Source:RGD Symbol;Acc:2324599]
ENSRNOG00000012671	Gan	protein_coding	gigaxonin [Source:RGD Symbol;Acc:1307766]
ENSRNOG00000013178	Cmip	protein_coding	c-Maf-inducing protein [Source:RGD Symbol;Acc:1306101]
ENSRNOG00000014948	Osgin1	protein_coding	oxidative stress induced growth inhibitor 1 [Source:RGD Symbol;Acc:620679]
ENSRNOG00000025503	Slc38a8	protein_coding	"solute carrier family 38, member 8 [Source:RGD Symbol;Acc:1560237]"
ENSRNOG00000015173	Mbtps1	protein_coding	"membrane-bound transcription factor peptidase, site 1 [Source:RGD Symbol;Acc:70935]"
ENSRNOG00000015746	Kcng4	protein_coding	potassium voltage-gated channel modifier subfamily G member 4 [Source:RGD Symbol;Acc:1308553]
ENSRNOG00000049334	Atp2c2	protein_coding	ATPase secretory pathway Ca2+ transporting 2 [Source:RGD Symbol;Acc:620647]
ENSRNOG00000049906	Foxf1	protein_coding	forkhead box F1 [Source:RGD Symbol;Acc:1584229]
ENSRNOG00000017575	Gins2	protein_coding	GINS complex subunit 2 [Source:RGD Symbol;Acc:1311055]
ENSRNOG00000018784	Jph3	protein_coding	junctophilin 3 [Source:RGD Symbol;Acc:1308416]
ENSRNOG00000018824	Slc7a5	protein_coding	solute carrier family 7 member 5 [Source:RGD Symbol;Acc:620639]
ENSRNOG00000015150	Spg7	protein_coding	"SPG7, paraplegin matrix AAA peptidase subunit [Source:RGD Symbol;Acc:727940]"
ENSRNOG00000016167	Spata2L	protein_coding	spermatogenesis associated 2-like [Source:RGD Symbol;Acc:1560840]
ENSRNOG00000016920	Spire2	protein_coding	spire-type actin nucleation factor 2 [Source:RGD Symbol;Acc:1305837]
ENSRNOG00000019143	Galnt2	protein_coding	polypeptide N-acetylgalactosaminyltransferase 2 [Source:RGD Symbol;Acc:1310692]
ENSRNOG00000026791	Pgbd5	protein_coding	piggyBac transposable element derived 5 [Source:RGD Symbol;Acc:1310825]
ENSRNOG00000019779	Disc1	protein_coding	DISC1 scaffold protein [Source:RGD Symbol;Acc:631359]
ENSRNOG00000034241	Set	protein_coding	SET nuclear proto-oncogene [Source:RGD Symbol;Acc:1307467]
ENSRNOG00000052701	Coa6	protein_coding	cytochrome c oxidase assembly factor 6 [Source:MGI Symbol;Acc:MGI:1915142]
ENSRNOG00000022730	Zfp57	protein_coding	zinc finger protein 57 [Source:RGD Symbol;Acc:1302981]
ENSRNOG00000052586	AC108572.2	antisense	NA
ENSRNOG00000022107	RT1-M6-1	protein_coding	"RT1 class I, locus M6, gene 1 [Source:RGD Symbol;Acc:1598232]"
ENSRNOG00000000778	Znrd1as1	protein_coding	ZNRD1 antisense RNA 1 [Source:RGD Symbol;Acc:1564067]
ENSRNOG00000000781	Rnf39	protein_coding	ring finger protein 39 [Source:RGD Symbol;Acc:628854]
ENSRNOG00000058238	AC120486.9	processed_pseudogene	NA
ENSRNOG00000048951	LOC100364500	protein_coding	"RT1 class I, locus CE11-like [Source:RGD Symbol;Acc:2320860]"
ENSRNOG00000060523	AABR07044362.6	processed_pseudogene	NA
ENSRNOG00000058852	AABR07044362.5	processed_pseudogene	NA
ENSRNOG00000032664	AABR07044362.2	unprocessed_pseudogene	"RT1 class Ib, locus O1 [Source:NCBI gene;Acc:24751]"
ENSRNOG00000000795	RT1-N3	protein_coding	"RT1 class Ib, locus N3 [Source:RGD Symbol;Acc:1598370]"
ENSRNOG00000058784	AABR07044362.4	antisense	NA
ENSRNOG00000000787	AABR07044364.1	protein_coding	"RT1 class I histocompatibility antigen, AA alpha chain-like [Source:NCBI gene;Acc:100909797]"
ENSRNOG00000032596	RT1-T24-1	protein_coding	"RT1 class I, locus T24, gene 1 [Source:RGD Symbol;Acc:1359499]"
ENSRNOG00000000798	Gnl1	protein_coding	G protein nucleolar 1 [Source:RGD Symbol;Acc:1303051]
ENSRNOG00000025806	Prr3	protein_coding	proline rich 3 [Source:RGD Symbol;Acc:1303270]
ENSRNOG00000000809	Atat1	protein_coding	alpha tubulin acetyltransferase 1 [Source:RGD Symbol;Acc:1303066]
ENSRNOG00000061216	Tubb5	protein_coding	"tubulin, beta 5 class I [Source:RGD Symbol;Acc:628596]"
ENSRNOG00000000831	Gtf2h4	protein_coding	general transcription factor 2H subunit 4 [Source:RGD Symbol;Acc:1303309]
ENSRNOG00000000465	Slc39a7	protein_coding	solute carrier family 39 member 7 [Source:RGD Symbol;Acc:1593280]
ENSRNOG00000000464	Rxrb	protein_coding	retinoid X receptor beta [Source:RGD Symbol;Acc:3611]
ENSRNOG00000000459	Psmb9	protein_coding	proteasome subunit beta 9 [Source:RGD Symbol;Acc:3427]
ENSRNOG00000000457	Tap1	protein_coding	"transporter 1, ATP binding cassette subfamily B member [Source:RGD Symbol;Acc:3817]"
ENSRNOG00000000443	LOC103689965	protein_coding	complement C4-like [Source:RGD Symbol;Acc:9245878]
ENSRNOG00000000437	Agpat1	protein_coding	1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:RGD Symbol;Acc:1303287]
ENSRNOG00000000435	Ppt2	protein_coding	palmitoyl-protein thioesterase 2 [Source:RGD Symbol;Acc:620375]
ENSRNOG00000000431	Atf6b	protein_coding	activating transcription factor 6 beta [Source:RGD Symbol;Acc:1303317]
ENSRNOG00000052039	AABR07044388.3	lincRNA	NA
ENSRNOG00000000422	Dxo	protein_coding	decapping exoribonuclease [Source:RGD Symbol;Acc:1303267]
ENSRNOG00000000420	Nelfe	protein_coding	negative elongation factor complex member E [Source:RGD Symbol;Acc:1303325]
ENSRNOG00000030630	Ehmt2	protein_coding	euchromatic histone lysine methyltransferase 2 [Source:RGD Symbol;Acc:1302972]
ENSRNOG00000061639	AABR07044404.1	protein_coding	NA
ENSRNOG00000031090	RT1-CE7	protein_coding	"RT1 class I, locus CE7 [Source:RGD Symbol;Acc:1595786]"
ENSRNOG00000000723	RT1-CE5	protein_coding	"RT1 class I, locus CE5 [Source:RGD Symbol;Acc:1595868]"
ENSRNOG00000000867	Vars	protein_coding	valyl-tRNA synthetase [Source:RGD Symbol;Acc:3950]
ENSRNOG00000000842	Ddah2	protein_coding	dimethylarginine dimethylaminohydrolase 2 [Source:RGD Symbol;Acc:1302955]
ENSRNOG00000027157	Ly6g6e	protein_coding	lymphocyte antigen 6 family member G6E [Source:RGD Symbol;Acc:1303112]
ENSRNOG00000000851	Bag6	protein_coding	BCL2-associated athanogene 6 [Source:RGD Symbol;Acc:71064]
ENSRNOG00000000852	Prrc2a	protein_coding	proline-rich coiled-coil 2A [Source:RGD Symbol;Acc:1303025]
ENSRNOG00000062039	AABR07044420.2	processed_pseudogene	NA
ENSRNOG00000038999	RT1-A1	protein_coding	"RT1 class Ia, locus A1 [Source:RGD Symbol;Acc:1595924]"
ENSRNOG00000030712	RT1-A2	protein_coding	"RT1 class Ia, locus A2 [Source:RGD Symbol;Acc:1595923]"
ENSRNOG00000028505	Rps18l1	protein_coding	ribosomal protein S18-like 1 [Source:RGD Symbol;Acc:2321678]
ENSRNOG00000000474	Rgl2	protein_coding	ral guanine nucleotide dissociation stimulator-like 2 [Source:RGD Symbol;Acc:1302985]
ENSRNOG00000052795	Itpr3	protein_coding	"inositol 1,4,5-trisphosphate receptor, type 3 [Source:RGD Symbol;Acc:2934]"
ENSRNOG00000062018	AC141521.3	TEC	NA
ENSRNOG00000000512	Slc26a8	protein_coding	solute carrier family 26 member 8 [Source:RGD Symbol;Acc:1308898]
ENSRNOG00000000513	Mapk14	protein_coding	mitogen activated protein kinase 14 [Source:RGD Symbol;Acc:70496]
ENSRNOG00000000515	Mapk13	protein_coding	mitogen activated protein kinase 13 [Source:RGD Symbol;Acc:3045]
ENSRNOG00000028622	Pnpla1	protein_coding	patatin-like phospholipase domain containing 1 [Source:RGD Symbol;Acc:1306685]
ENSRNOG00000000517	Kctd20	protein_coding	potassium channel tetramerization domain containing 20 [Source:RGD Symbol;Acc:1309887]
ENSRNOG00000000490	Rps10	protein_coding	ribosomal protein S10 [Source:RGD Symbol;Acc:621024]
ENSRNOG00000000498	Anks1a	protein_coding	ankyrin repeat and sterile alpha motif domain containing 1A [Source:RGD Symbol;Acc:1309183]
ENSRNOG00000000504	Fance	protein_coding	FA complementation group E [Source:RGD Symbol;Acc:1561045]
ENSRNOG00000000532	Cmtr1	protein_coding	cap methyltransferase 1 [Source:RGD Symbol;Acc:1307801]
ENSRNOG00000001169	Slc37a1	protein_coding	solute carrier family 37 member 1 [Source:RGD Symbol;Acc:1308587]
ENSRNOG00000001181	Wdr4	protein_coding	WD repeat domain 4 [Source:RGD Symbol;Acc:1585179]
ENSRNOG00000045860	U2af1	protein_coding	U2 small nuclear RNA auxiliary factor 1 [Source:RGD Symbol;Acc:1584190]
ENSRNOG00000047175	Cryaa	protein_coding	"crystallin, alpha A [Source:RGD Symbol;Acc:2413]"
ENSRNOG00000001189	Sik1	protein_coding	salt-inducible kinase 1 [Source:RGD Symbol;Acc:69407]
ENSRNOG00000001214	Pfkl	protein_coding	"phosphofructokinase, liver type [Source:RGD Symbol;Acc:3311]"
ENSRNOG00000001225	Fam207a	protein_coding	"family with sequence similarity 207, member A [Source:RGD Symbol;Acc:1311257]"
ENSRNOG00000001249	Col6a1	protein_coding	collagen type VI alpha 1 chain [Source:RGD Symbol;Acc:1565398]
ENSRNOG00000001261	Ftcd	protein_coding	formimidoyltransferase cyclodeaminase [Source:RGD Symbol;Acc:70915]
ENSRNOG00000001242	Gstt3	protein_coding	"glutathione S-transferase, theta 3 [Source:RGD Symbol;Acc:1562732]"
ENSRNOG00000001237	Cabin1	protein_coding	calcineurin binding protein 1 [Source:RGD Symbol;Acc:620263]
ENSRNOG00000033389	Susd2	protein_coding	sushi domain containing 2 [Source:RGD Symbol;Acc:1308595]
ENSRNOG00000046428	Lrrc75b	protein_coding	leucine rich repeat containing 75B [Source:RGD Symbol;Acc:2318441]
ENSRNOG00000049952	Gucd1	protein_coding	guanylyl cyclase domain containing 1 [Source:RGD Symbol;Acc:1597571]
ENSRNOG00000048682	Zwint	protein_coding	ZW10 interacting kinetochore protein [Source:RGD Symbol;Acc:628671]
ENSRNOG00000000611	Ube2d1	protein_coding	ubiquitin-conjugating enzyme E2D 1 [Source:RGD Symbol;Acc:1307886]
ENSRNOG00000000632	Cdk1	protein_coding	cyclin-dependent kinase 1 [Source:RGD Symbol;Acc:2319]
ENSRNOG00000000639	Ado	pseudogene	2-aminoethanethiol dioxygenase [Source:RGD Symbol;Acc:1308233]
ENSRNOG00000000648	Jmjd1c	protein_coding	jumonji domain containing 1C [Source:RGD Symbol;Acc:708458]
ENSRNOG00000000645	Reep3	protein_coding	receptor accessory protein 3 [Source:RGD Symbol;Acc:1560401]
ENSRNOG00000061934	AABR07044836.1	lincRNA	NA
ENSRNOG00000000386	Pbld1	protein_coding	phenazine biosynthesis-like protein domain containing 1 [Source:RGD Symbol;Acc:621263]
ENSRNOG00000042916	Rwdd1	protein_coding	RWD domain containing 1 [Source:RGD Symbol;Acc:631337]
ENSRNOG00000000823	Gcc2	protein_coding	GRIP and coiled-coil domain containing 2 [Source:RGD Symbol;Acc:1305732]
ENSRNOG00000045920	Mcu	protein_coding	mitochondrial calcium uniporter [Source:RGD Symbol;Acc:1589771]
ENSRNOG00000043436	Micu1	protein_coding	mitochondrial calcium uptake 1 [Source:RGD Symbol;Acc:735033]
ENSRNOG00000000576	Anapc16	protein_coding	anaphase promoting complex subunit 16 [Source:RGD Symbol;Acc:2321124]
ENSRNOG00000000571	Psap	protein_coding	prosaposin [Source:RGD Symbol;Acc:3423]
ENSRNOG00000000560	Lrrc20	protein_coding	leucine rich repeat containing 20 [Source:RGD Symbol;Acc:1566140]
ENSRNOG00000059445	Aifm2	protein_coding	"apoptosis inducing factor, mitochondria associated 2 [Source:RGD Symbol;Acc:1304964]"
ENSRNOG00000024751	H2afy2	protein_coding	"H2A histone family, member Y2 [Source:RGD Symbol;Acc:1561371]"
ENSRNOG00000000394	Srgn	protein_coding	serglycin [Source:RGD Symbol;Acc:619969]
ENSRNOG00000000397	Ccar1	protein_coding	cell division cycle and apoptosis regulator 1 [Source:RGD Symbol;Acc:1560358]
ENSRNOG00000003281	Mcm9	protein_coding	minichromosome maintenance 9 homologous recombination repair factor [Source:RGD Symbol;Acc:1560557]
ENSRNOG00000000415	Asf1a	protein_coding	anti-silencing function 1A histone chaperone [Source:RGD Symbol;Acc:1311941]
ENSRNOG00000000802	Tbc1d32	protein_coding	"TBC1 domain family, member 32 [Source:RGD Symbol;Acc:2323599]"
ENSRNOG00000000801	Msl3l2	protein_coding	male-specific lethal 3-like 2 (Drosophila) [Source:RGD Symbol;Acc:1308699]
ENSRNOG00000000805	Gja1	protein_coding	"gap junction protein, alpha 1 [Source:RGD Symbol;Acc:2690]"
ENSRNOG00000000811	Pkib	protein_coding	cAMP-dependent protein kinase inhibitor beta [Source:RGD Symbol;Acc:3335]
ENSRNOG00000000814	Fabp7	protein_coding	fatty acid binding protein 7 [Source:RGD Symbol;Acc:69312]
ENSRNOG00000000595	Traf3ip2	protein_coding	Traf3 interacting protein 2 [Source:RGD Symbol;Acc:1593240]
ENSRNOG00000024543	Mfsd4b	protein_coding	major facilitator superfamily domain containing 4B [Source:RGD Symbol;Acc:1559971]
ENSRNOG00000042918	RGD1304770	protein_coding	similar to Na+ dependent glucose transporter 1 [Source:RGD Symbol;Acc:1304770]
ENSRNOG00000000589	RGD1310495	protein_coding	similar to KIAA1919 protein [Source:RGD Symbol;Acc:1310495]
ENSRNOG00000000308	Zbtb24	protein_coding	zinc finger and BTB domain containing 24 [Source:RGD Symbol;Acc:1306951]
ENSRNOG00000000304	Cd164	protein_coding	CD164 molecule [Source:RGD Symbol;Acc:70942]
ENSRNOG00000000303	Cep57l1	protein_coding	centrosomal protein 57-like 1 [Source:RGD Symbol;Acc:1311358]
ENSRNOG00000000314	Sec63	protein_coding	"SEC63 homolog, protein translocation regulator [Source:RGD Symbol;Acc:1304984]"
ENSRNOG00000046505	Bend3	protein_coding	BEN domain containing 3 [Source:RGD Symbol;Acc:1596570]
ENSRNOG00000000321	Cd24	protein_coding	CD24 molecule [Source:RGD Symbol;Acc:2298]
ENSRNOG00000000582	Ddo	protein_coding	D-aspartate oxidase [Source:RGD Symbol;Acc:1595123]
ENSRNOG00000047102	Popdc3	protein_coding	popeye domain containing 3 [Source:RGD Symbol;Acc:1590760]
ENSRNOG00000049150	AABR07045621.1	protein_coding	NA
ENSRNOG00000055204	AABR07034833.1	protein_coding	NA
ENSRNOG00000001108	N4bp2l2	protein_coding	NEDD4 binding protein 2-like 2 [Source:RGD Symbol;Acc:1359603]
ENSRNOG00000001092	Kl	protein_coding	Klotho [Source:RGD Symbol;Acc:620396]
ENSRNOG00000028090	Arhgef18	protein_coding	Rho/Rac guanine nucleotide exchange factor 18 [Source:RGD Symbol;Acc:1311448]
ENSRNOG00000000977	Pnpla6	protein_coding	patatin-like phospholipase domain containing 6 [Source:RGD Symbol;Acc:1564611]
ENSRNOG00000000986	Camsap3	protein_coding	"calmodulin regulated spectrin-associated protein family, member 3 [Source:RGD Symbol;Acc:1597412]"
ENSRNOG00000001058	Timm44	protein_coding	translocase of inner mitochondrial membrane 44 [Source:RGD Symbol;Acc:3864]
ENSRNOG00000001056	Snapc2	protein_coding	"small nuclear RNA activating complex, polypeptide 2 [Source:RGD Symbol;Acc:1304589]"
ENSRNOG00000001072	Cers4	protein_coding	ceramide synthase 4 [Source:RGD Symbol;Acc:1309303]
ENSRNOG00000061346	B3glct	protein_coding	beta 3-glucosyltransferase [Source:RGD Symbol;Acc:1588723]
ENSRNOG00000000909	Uspl1	protein_coding	ubiquitin specific peptidase like 1 [Source:RGD Symbol;Acc:1310835]
ENSRNOG00000039832	Gpr12	protein_coding	G protein-coupled receptor 12 [Source:RGD Symbol;Acc:68333]
ENSRNOG00000048898	Wasf3	protein_coding	"WAS protein family, member 3 [Source:NCBI gene;Acc:682937]"
ENSRNOG00000000989	Bud31	protein_coding	BUD31 homolog [Source:RGD Symbol;Acc:621103]
ENSRNOG00000000990	Pdap1	protein_coding	PDGFA associated protein 1 [Source:RGD Symbol;Acc:620442]
ENSRNOG00000025244	Trrap	processed_transcript	transformation/transcription domain-associated protein [Source:RGD Symbol;Acc:1305446]
ENSRNOG00000001009	Bri3	protein_coding	brain protein I3 [Source:RGD Symbol;Acc:1309187]
ENSRNOG00000001048	Ankrd61	protein_coding	ankyrin repeat domain 61 [Source:RGD Symbol;Acc:1586393]
ENSRNOG00000051699	Zdhhc4	protein_coding	"zinc finger, DHHC-type containing 4 [Source:RGD Symbol;Acc:1308389]"
ENSRNOG00000001094	Zfp316	protein_coding	zinc finger protein 316 [Source:RGD Symbol;Acc:1311647]
ENSRNOG00000056585	Fscn1	protein_coding	fascin actin-bundling protein 1 [Source:MGI Symbol;Acc:MGI:1352745]
ENSRNOG00000001114	Wipi2	protein_coding	"WD repeat domain, phosphoinositide interacting 2 [Source:RGD Symbol;Acc:1359154]"
ENSRNOG00000001113	Mmd2	protein_coding	monocyte to macrophage differentiation-associated 2 [Source:RGD Symbol;Acc:1306506]
ENSRNOG00000024456	Radil	protein_coding	Rap associating with DIL domain [Source:RGD Symbol;Acc:1306155]
ENSRNOG00000001107	AABR07035428.1	protein_coding	NA
ENSRNOG00000024264	Amz1	protein_coding	archaelysin family metallopeptidase 1 [Source:RGD Symbol;Acc:1311314]
ENSRNOG00000055583	Ttyh3	protein_coding	tweety family member 3 [Source:RGD Symbol;Acc:1309549]
ENSRNOG00000001273	Psmg3	protein_coding	proteasome assembly chaperone 3 [Source:RGD Symbol;Acc:2319950]
ENSRNOG00000022533	Micall2	protein_coding	MICAL-like 2 [Source:RGD Symbol;Acc:1307875]
ENSRNOG00000021312	Dnaaf5	protein_coding	"dynein, axonemal, assembly factor 5 [Source:RGD Symbol;Acc:1566028]"
ENSRNOG00000028733	Prkar1b	protein_coding	protein kinase cAMP-dependent type 1 regulatory subunit beta [Source:RGD Symbol;Acc:3392]
ENSRNOG00000028651	RGD1566386	protein_coding	similar to Hypothetical protein A430033K04 [Source:RGD Symbol;Acc:1566386]
ENSRNOG00000060153	Spry3	protein_coding	sprouty RTK signaling antagonist 3 [Source:RGD Symbol;Acc:1562172]
ENSRNOG00000001349	Mcm7	protein_coding	minichromosome maintenance complex component 7 [Source:RGD Symbol;Acc:1303018]
ENSRNOG00000001357	Mblac1	protein_coding	metallo-beta-lactamase domain containing 1 [Source:RGD Symbol;Acc:1306932]
ENSRNOG00000027061	Nxpe5l1	protein_coding	"neurexophilin and PC-esterase domain family, member 5-like 1 [Source:RGD Symbol;Acc:1559954]"
